id,name,type,age,committee,representation,position,place of birth,university,degree course,marriage,kids
v,Vorstand,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
th,Thomas Hitzlsperger,0,38,1,S,VS,MUC,NA,NA,NA,NA
tk,Tobias Keller,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
os,Oliver Schraft,0,53,1,M,MG,STR,KN,VW,1,1
ar,Aufsichtsrat,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
cv,Claus Vogt,0,51,2,W,VS,NT,STG,MB,1,3
wp,Wilfried Porth,0,62,2,W,SV,BAD,STG,MB,1,3
ra,Rainer Adrion,0,67,2,S,MG,STR,STG,BWL,1,3
hj,Hartmut Jenner,0,55,2,W,SV,STR,STG,BWL,1,3
fr,Franz Reiner,0,53,2,W,MG,HOU,ES,WI,1,3
bs,Dr. Bertram Sugg,0,55,2,W,MG,STR,KA,NA,1,2
ard,ARD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
dfb,DFB,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
fif,FIFA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
vfl,VfL Wolfsburg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
dfl,DFL,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
bos,Robert Bosch GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
han,Haniel Konzern,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
met,Metro Group,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
int,Intesia Group Holding GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
pf,FC PlayFair!,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
dag,Daimler AG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ak,Alfred Kaercher SE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
fcc,Fanclub Courage Gerlingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
vfb,VfB Stuttgart,1,NA,NA,NA,NA,NA,NA,NA,NA,NA